% Device,CC1838007
% File name,CC1838007_20210628_214205
% Cast time (UTC),2021-06-28 21:42:05
% Cast time (local),2021-06-28 13:42:05
% Sample type,Cast
% Cast data,Processed
% Location source,GPS
% Default latitude,32
% Default altitude,0
% Start latitude,59.7220757
% Start longitude,-140.6065186
% Start altitude,6.5219998359680176
% Start GPS horizontal error(Meter),5.5349998474121094
% Start GPS vertical error(Meter),14.383999824523926
% Start GPS number of satellites,8
% End latitude,
% End longitude,
% End altitude,
% End GPS horizontal error(Meter),
% End GPS vertical error(Meter),
% End GPS number of satellites,
% Cast duration (Seconds),63
% Samples per second,5
% Electronics calibration date,0001-01-01
% Conductivity calibration date,2018-09-19
% Temperature calibration date,2018-09-18
% Pressure calibration date,2018-09-17
% 
Pressure (Decibar),Depth (Meter),Temperature (Celsius),Conductivity (MicroSiemens per Centimeter),Specific conductance (MicroSiemens per Centimeter),Salinity (Practical Salinity Scale),Sound velocity (Meters per Second),Density (Kilograms per Cubic Meter)
0.15,0.15248605832611195,6.19121908185982,2869.0797307954367,4599.1785753318554,2.384203880639252,1434.5043380587847,1001.83319851117
0.44999999999999996,0.45745273739263925,5.9878888292298775,2872.3882926903188,4634.6950392775507,2.401411161406497,1433.6488872930822,1001.8564547731057
0.74999999999999989,0.76239159065269335,5.5134689983242851,3038.7178566827042,4979.3057892722427,2.5850728351832917,1431.8144071135989,1002.0204548090514
1.05,1.0672615927125251,4.9841684621506808,3366.370769119168,5613.58033551701,2.9277061811931127,1429.9188882928152,1002.3094134635607
1.35,1.3716291511570349,4.5150342301150275,7233.7653172380269,12254.373924894877,6.7184178999845194,1432.7027031981083,1005.3340476550627
1.65,1.6749840136282488,4.1782585192510657,11655.465439479935,19972.859983727194,11.342869069026794,1437.1286278131615,1009.0140876282304
1.9500000000000002,1.9770223236034177,3.8953768138319571,17493.517075870441,30270.442895723809,17.766240273375054,1444.1009162928449,1014.120873671026
2.25,2.2780534547170741,3.4419985508363231,19090.874472661711,33561.063647723786,19.813288355011174,1444.7385215673653,1015.771795302657
2.55,2.5785894107309857,2.9933348044831214,20671.530051629652,36922.23558930734,21.911172207683588,1445.464642318356,1017.4658506338317
2.85,2.8787528826989872,2.7458070072862246,21400.747014958331,38565.731768656718,22.932674316143117,1445.6928555235259,1018.2942201075139
3.15,3.17872764382398,2.4425664741009117,21677.28635614274,39495.734439781372,23.478227412669582,1445.0544082039007,1018.7466720388322
3.4499999999999997,3.4786002736683583,2.1323158506532018,21720.314597545152,40026.650723628227,23.759707239605092,1444.0346732217008,1018.988313404136
3.75,3.7784084530793605,1.9378345691673906,21792.375957639182,40449.383378763465,23.992680307705204,1443.4669092457812,1019.1851047877502
4.05,4.0781709584076369,1.8364128170862675,21840.4849211571,40691.885815774258,24.127822848934827,1443.1898068585069,1019.2992386309302
4.35,4.3779009888629492,1.7527993347646673,21892.907447664977,40917.040444465994,24.255251394606873,1442.9825881930346,1019.4063544059767
4.6499999999999995,4.6775980886862518,1.6128891206441527,21916.881925367685,41177.193926619417,24.392370595391533,1442.531803485492,1019.5236387559895
4.9499999999999993,4.977270669428485,1.5358444638699589,21914.167361413904,41291.633645296781,24.448834785309842,1442.2600627906675,1019.573560017142
5.2499999999999991,5.276930228071615,1.4679377612275502,21906.486793922923,41383.063145201624,24.492297688738514,1442.0124059224336,1019.6126368457478
5.55,5.5765770940138326,1.4100765090159892,21914.359940616585,41488.633955936028,24.54707574411,1441.8250570072732,1019.6603249426211
5.85,5.8762096891314162,1.3323754873575486,21910.780368417345,41604.260844102231,24.603566482424398,1441.5489391039885,1019.7101498783583
6.1499999999999995,6.1758267113267662,1.2751889610649354,21927.891245967898,41727.371168407313,24.669529227605924,1441.3787047407295,1019.7667107802783
6.4499999999999993,6.4754308911485561,1.1971888468661736,21905.058311701134,41808.032227705073,24.702947224164813,1441.0699263788388,1019.7979569026907
6.7499999999999991,6.7750223398728648,1.07838685430922,21879.245799922071,41949.001527881548,24.765204325508847,1440.6109100649721,1019.8537698996507
7.0499999999999989,7.0746047585761671,0.998404845638165,21829.695982151417,41982.760311184735,24.767348180704023,1440.2502548408061,1019.8598217232774
7.35,7.3741813315226707,0.89312739218446024,21791.297979778035,42079.308632211592,24.803514107100067,1439.8169474923434,1019.8939593228367
7.6499999999999995,7.6737395627506668,0.74599208734661016,21781.4809770524,42300.721803913992,24.909132152482716,1439.2803412348762,1019.9851048544732
7.9499999999999993,7.9732773180329541,0.64892581279493289,21762.974536256184,42424.729002490531,24.964090617538393,1438.9074094972034,1020.0337865576122
8.25,8.2728126611630923,0.61276497451159184,21705.646977209854,42372.713369310404,24.9212434703025,1438.6874623120002,1020.0019196270883
8.5499999999999989,8.5723529588447853,0.55865358764937068,21666.445089129338,42385.732516831689,24.915560228554558,1438.4329697764463,1020.0004300401808
8.85,8.871876732795414,0.47919868407931532,21724.743406473382,42632.312883623177,25.05318599406684,1438.249864934126,1020.1148533739362
9.1499999999999986,9.17137745318152,0.46794171400409762,21758.241044893261,42716.920922056735,25.10444423028299,1438.2701149363268,1020.1578461793404
9.45,9.4708709268446061,0.48370150300002557,21774.229897842873,42721.874401329682,25.111620535175366,1438.3579233980067,1020.1646074032853
9.75,9.7703624363982318,0.47151360130076342,21771.589478552993,42737.1333705139,25.1180885714645,1438.3144807604112,1020.1716141837861
10.049999999999999,10.069845201578508,0.44301427847508523,21803.20331157494,42847.130990333477,25.181110809401307,1438.2699038194169,1020.2245702829382
10.35,10.369316479401698,0.42474465668745759,21814.828595274779,42900.78207243044,25.210605250398793,1438.2285703493103,1020.2502675685541
10.649999999999999,10.668783868370564,0.40432580515452737,21800.867105195739,42907.785218162244,25.209551216574141,1438.1366608951405,1020.2514546701133
10.95,10.968250052212214,0.36527601238054658,21780.444381760619,42933.584422913031,25.215592688091935,1437.9670577969805,1020.2588663886155
11.25,11.267711832989908,0.3001637098116603,21757.719916472626,42999.16823865207,25.240123199994702,1437.6998751228298,1020.2818443676866
11.549999999999999,11.567162806314778,0.22560339415579969,21756.082045157418,43123.016138035782,25.299292362809133,1437.4339879338691,1020.3328996926906
11.85,11.866599335800061,0.15609524650748533,21754.520437920128,43239.064379318545,25.354596331946862,1437.1861772646203,1020.3806641833061
12.149999999999999,12.166019020586399,0.093047455489407543,21776.337838169537,43391.178127720188,25.434571145288992,1437.0011286937129,1020.4480943302355
12.45,12.465420519283491,0.035579042368723723,21791.52726982451,43521.116953088691,25.501694364381283,1436.8249217618504,1020.505013966277
12.75,12.764803379762387,-0.0347578546767117,21811.047364027516,43682.827582974911,25.585360864250386,1436.6098302480173,1020.5755431664493
13.049999999999999,13.064170191991577,-0.087867051605779026,21811.816958059255,43777.497902814459,25.630772500143944,1436.424656052749,1020.6148166491209
