% Device,CC1838007,,,,,,
% File name,CC1838007_20210702_205539,,,,,,
% Cast time (UTC),2021-07-02 20:55:39,,,,,,
% Cast time (local),2021-07-02 12:55:39,,,,,,
% Sample type,Cast,,,,,,
% Cast data,Processed,,,,,,
% Location source,Manual,,,,,,
% Default latitude,32,,,,,,
% Default altitude,0,,,,,,
% Start latitude,59.8301058,copied from the next file,,,,,
% Start longitude,-140.0752033,,,,,,
% Start altitude,,,,,,,
% Start GPS horizontal error(Meter),,,,,,,
% Start GPS vertical error(Meter),,,,,,,
% Start GPS number of satellites,,,,,,,
% End latitude,,,,,,,
% End longitude,,,,,,,
% End altitude,,,,,,,
% End GPS horizontal error(Meter),,,,,,,
% End GPS vertical error(Meter),,,,,,,
% End GPS number of satellites,,,,,,,
% Cast duration (Seconds),87.2,,,,,,
% Samples per second,5,,,,,,
% Electronics calibration date,0001-01-01,,,,,,
% Conductivity calibration date,2018-09-19,,,,,,
% Temperature calibration date,2018-09-18,,,,,,
% Pressure calibration date,2018-09-17,,,,,,
% ,,,,,,,
Pressure (Decibar),Depth (Meter),Temperature (Celsius),Conductivity (MicroSiemens per Centimeter),Specific conductance (MicroSiemens per Centimeter),Salinity (Practical Salinity Scale),Sound velocity (Meters per Second),Density (Kilograms per Cubic Meter)
0.15,0.153140225198503,7.12301063537598,189.039108276367,294.242514224655,0.136121261543688,1435.62345462007,1000.00773180566
0.45,0.459415352116545,6.3160031426901,183.315933596966,292.687308724702,0.134748211439873,1432.15676823463,1000.04234423187
0.75,0.765681754431379,5.66411230853558,181.178779427992,295.424791047284,0.135489723936583,1429.31019779661,1000.06500763972
1.05,1.07194374323621,5.37479033688656,176.558778241218,290.633739826689,0.132972581448644,1428.03139252424,1000.07154803381
1.35,1.37820374506318,5.11996871022881,175.630918283466,291.552292057696,0.133174377758886,1426.90145936749,1000.07836503032
1.65,1.68446186760604,4.94432337705188,176.985855400932,295.52488659097,0.134881991640732,1426.12211544436,1000.08420224739
1.95,1.99071831597731,4.78952291448108,179.027491471849,300.487342455594,0.137071506315123,1425.43399405295,1000.08967980789
2.25,2.29697348803549,4.68317035971086,179.20289437953,301.859424394173,0.137613961107679,1424.95994983256,1000.09291869164
2.55,2.60322777267134,4.58187305581187,179.280111254382,303.023596437142,0.138062009798246,1424.50744121343,1000.09585643763
2.85,2.90948129558041,4.51472222255589,179.422558416747,303.954340250622,0.138432863159854,1424.20854163912,1000.09827441917
3.15,3.21573416827855,4.48565417295131,180.021821439758,305.270183906758,0.139022491289302,1424.08223511853,1000.10048386159
3.45,3.52198646571489,4.47153988845441,180.467047699797,306.171731071466,0.139431977718899,1424.02345141467,1000.1024123538
